	yes
2000	-0.26739498844651477
20000	-0.7777530816185121
200000	-2.790431349951646
2006	-2.182071677864211
2007	-0.9991645063855624
2013	-0.01019744701922365
202	-1.4839232658014485
20_minutes_the	1.8814617163245804
21	-1.5176922082751725
210	-1.1994300917352811
212	-3.0563353213353284
22	-0.438899848586575
229	-0.1940281657282556
231	-0.7833068548994223
24	-0.6807117915432654
249	-0.02594951988008803
25	-3.324599405367037
2500	-0.2940128547423553
256	-0.6484181359619022
26	-3.9799674851462448
260	-1.369435298580526
265	-0.12007151397132684
269	-1.637197278681178
27	-0.7252366050156598
28	-1.288856557709663
289	-0.6944166197499876
29	-1.415081811895022
2_minutes	1.099039588860434
2_pm	0.5070041006015562
2d	-1.3076340090338776
2minute	1.659458921098541
3	-1.1919369440620005
30	-2.078365489381344
3000	-0.11077428424801025
3000000	-1.4230406381052085
30_seconds	1.0925877254113847
31	-2.8289815349585816
3112	-4.779896666349693
315	-0.5923204162255001
319_which	0.0014826990909479845
319_which_i	0.36194757842381514
32	-1.6827687087727417
320	-0.565701331506755
322	-1.5920564215839192
329	-0.43721943677827335
33	-3.79814065631466
34	-1.4893588798794404
341	-0.12154462942599234
343	-1.1057791049268004
35	-2.0000505384217946
351	-0.7770576429807122
353	-1.9109439153657097
354	-0.05169684074622709
356	-0.480288967298563
357	-0.08399340899257346
359	-1.2743246862700184
36	-0.7762226854659134
37	-1.0366402485713637
38	-0.2970936394910702
391	-1.0376528656667228
3_minutes	0.5767277702895546
3d	-0.5029605738641685
4	-3.0431007119961495
40	-1.1705224612114493
400	-1.3109094139411692
4000	-0.24381178020945246
405	-1.6029622933758274
41	-0.0888467765072968
43	-0.8400291591655603
44	-0.02939474477129911
440	-2.567063493948365
45	-1.9635635850943443
46	-0.1541868529014153
48	-1.4559604040797451
49	-3.0913707368827823
4b	0.8006281813145879
4th	-2.410810673445015
5	-1.5051279182461779
50	-1.385323549720022
500	-0.6244998876389976
5000	-0.43334563686448574
50000	-2.10761097162474
512	-0.007484943206364241
52	-1.236571013608435
542	-0.02769353056871139
55	-0.7449184976404327
550	-1.4962396485662683
574	-1.5848295068808718
5919582	-1.1450045475459427
5949582	-1.6144112124960481
5_1950	0.607503530409687
5_legislative	0.4348193941739755
5_minutes	0.38609397273786505
5_minutes_to	-0.19881952166558248
5minute	0.172082152644077
5minute_vote	3.9452463731917673
6	-2.992096514439567
60	-0.07821350576834785
616	-1.022229920830858
62	-2.534081821912153
6270086	-0.6939601269718286
647	-0.2961529125428593
65	-2.7248459584896074
68	-1.344316429968686
6th	-0.16688909844481836
7	-3.0324247580351544
70	-2.542818712337472
700	-0.687920647501407
70000	-0.15064195502418493
708	-0.1201464308743752
717	-2.4045928130634944
72	-1.524517104234914
73	-0.3680488134046938
74	-0.3138785558374355
745	-2.232043070876792
787	-1.5581362701049364
79	-0.0380679915153426
8	-2.9406323232721374
80	-2.3914908209448864
800	-0.8291646056791231
82	-3.1677954671326356
827	-0.6700546929462544
84	-0.6168673030259683
85	-1.7109176615237904
85804	0.48697451075798315
89	-0.5437706751378681
892	-4.042701958796242
8950	-0.6831896707556029
8960	-1.0186516017560336
8964	-0.1971826066826233
8968	-0.269497635269834
8970	-9.461276940247673e-07
8971	-0.05620839440357639
8975	-4.786821579363178e-06
8th	-0.9346882857245709
9	-1.174694963683341
905	-0.6659496100083828
909	-0.046937023068882276
913	-1.923221297651018
92	-0.6646386008758157
930	-0.22833160509127062
933	-1.5465052991359691
934	-2.768228482991254
935	-1.6735497384467986
943	-2.319595082664619
944	-0.23344322028766426
956	-0.05081700044270204
97	-0.7676050704914099
9_of	0.20870338089441795
a	-1.1384718714358268
a_2minute	0.3836000063125239
a_2minute_vote	4.5223856665874616
a_5minute	1.015076153092357
a_5minute_vote	1.3443505121434671
a_bill_and	0.07950558760435089
a_close	-0.06810081226236464
a_committee_amendment	0.572568796257311
a_copy	-0.13201381718101138
a_copy_of	-0.0555607415652497
a_cosponsor_of	0.007068934819703976
a_division	2.1720110188984814
a_few_minutes	0.8274067837503682
a_good	0.4029966556881598
a_great	-0.09484973424710211
a_half_minutes	1.50219434511432
a_house	3.0606637402392374
a_house_bill	1.041859029937518
a_large	-0.4274997434037511
a_matter	0.019441645735665807
a_matter_of	0.1922966906817752
a_member	0.05382411476389135
a_member_of	0.12019031913172444
a_message	1.2024657036008304
a_message_from	0.3740902684472613
a_moment	1.0571842473074542
a_moment_i	-0.30480618630212963
a_moment_the	-0.8596482480526038
a_motion	0.2364886425057996
a_newspaper_article	0.09469063889528109
a_parliamentary_inquiry	1.1379539274045039
a_point	0.32175350269852937
a_point_of	1.0963909374775758
a_privileged	0.7335932820036519
a_question	1.6402685723293684
a_question_of	-0.051319687072446996
a_question_only	0.4536225594506174
a_quorum	1.727991965507178
a_quorum_call	-0.6158265188719174
a_quorum_is	1.0741601051634486
a_quorum_the	-0.9068375608602866
a_recorded	0.15203578100926451
a_recorded_vote	0.12430594888964741
a_report	0.48000606122137845
a_resolution	0.08909582455354018
a_second	1.9610051072819292
a_senate_bill	4.401852840603968
a_separate_vote	1.9087518322278467
a_short_question	1.4143236797770649
a_substitute	0.5650082298102453
a_sufficient_second	2.209293332833867
a_third	0.6002146828559796
a_word	0.5958176977661352
a_yes	-0.7538174218402338
ability	-2.2189456307758615
able	-1.7431131796622241
about	-1.102671753079209
about_10_minutes	0.3000516596286864
about_it	0.27684823218595417
about_that	2.0272469609888653
about_the	-2.3281724944431934
about_to_introduce	3.856726946087794
above	-0.1082918521992146
absence_of	0.36033489280840975
absence_of_a	0.5429092811980472
absent	1.187582000526572
absent_on	-0.18224010008076574
absent_on_official	-1.726730356833041
absent_with	0.29958831906728556
absent_with_leave	0.08217485536528388
absentees_be	0.07933121337911957
absentees_be_called	0.05490589060004303
absolutely	-0.22855484377008115
absurd	-0.4908051114576777
academy	-0.09474315997733537
accept_that	0.22737239224039757
accept_the_amendment	0.3719806270149296
acceptance	-1.4359737526815506
access	-0.6114760870764739
accordance	-0.018706695135392398
according	-0.6744769594145077
account	0.16454009599482525
account_of	0.8446496792634344
account_of_important	0.014149295666157136
account_of_official	1.977520502227834
achieve	-0.1482260615886169
acres	-1.6173719269397793
across	-1.9497712823582771
act	-2.6079824402319867
act_of	-0.39689353640620695
acting	-1.2123310025253684
action	-0.7212344664604663
action_or	1.0454927858101855
action_or_debate	0.7771272717415334
activities	-0.6082893015419801
actual	-0.04357142520595318
adams	-2.033391097872824
add	-0.7420668620540345
added	-0.31500381011588074
additional	-0.007684706964958521
address	-0.49442567614869254
address_as	1.1132933305782657
address_as_follows	2.172654114317906
addressed_the	0.41467159093521755
addressed_the_senate	0.13124780724214707
adjourn_to_meet	1.2594581099678495
adjourned	-0.08065442587650826
adjourns_today_it	2.2775482865195977
administered	0.08068157097363565
